Year,Gender,Class,Event,Rank,Athlete,School,Mark
2011,Boys,Class 1,Discus Throw,1,Travis Smikle,Calabar High School,54.89mq
2011,Boys,Class 1,Discus Throw,2,Fedrick Dacres,Calabar High School,48.82mq
2011,Boys,Class 1,Discus Throw,3,Rajae Gayle,Munro College,48.32mq
2011,Boys,Class 1,Discus Throw,4,Shaquille Lewis,Jamaica College,43.01mq
2011,Boys,Class 1,Discus Throw,5,Kashif Ford,Jamaica College,41.84mq
2011,Boys,Class 1,Discus Throw,6,Jeffery King,St. Jago High,40.56mq
2011,Boys,Class 1,Discus Throw,7,Jason Cross,Wolmer's,39.56mq
2011,Boys,Class 1,Discus Throw,8,Fabeon Tucker,Edwin Allen High,38.99mq
2011,Boys,Class 1,Discus Throw,9,Raschane Cunningham,Kingston College,38.84mq
2011,Boys,Class 1,Discus Throw,10,Roderick Campbell,St. Jago High,38.75mq
2011,Boys,Class 1,Discus Throw,11,Emmanuel Onyia,Munro College,38.33mq
2011,Boys,Class 1,Discus Throw,12,Chadwick Dacosta,Kingston College,38.13mq
2011,Boys,Class 1,Discus Throw,13,Nicoholas Nathan,Petersfield High,37.42mq
2011,Boys,Class 1,Discus Throw,14,Carlington Sinclair,Manchester High,36.29mq
2011,Boys,Class 1,Discus Throw,15,Mark Davidson,Bridgeport High,35.90m
2011,Boys,Class 1,Discus Throw,16,Seldwyn Morgan,Claude McKay High,35.57m
2011,Boys,Class 1,Discus Throw,17,Oshane Forbes,Balaclava High,31.72m
2011,Boys,Class 1,Discus Throw,18,Alphanso Bloise,Holmwood Technical High,30.72m
2011,Boys,Class 1,Discus Throw,19,Damion King,Oberlin High,28.11m
2011,Boys,Class 1,Discus Throw,20,Ricardo Mckenzie,Glenmuir High,26.82m
2011,Boys,Class 1,Discus Throw,--,Demar Samuels,Godfrey Stewart High,ND
2011,Boys,Class 1,Discus Throw,--,Orrin Powell,Vere Technical High,DNS
2011,Boys,Class 1,Discus Throw,--,Jeffery Graham,Petersfield High,DNS
2011,Boys,Class 1,Long Jump,1,Ramone Bailey,Wolmer's,7.15mq
2011,Boys,Class 1,Long Jump,2,Adam Cummings,Munro College,7.13mq
2011,Boys,Class 1,Long Jump,3,Keneil Grant,Kingston College,7.04mq
2011,Boys,Class 1,Long Jump,4,Owen Smith,Calabar High School,6.97mq
2011,Boys,Class 1,Long Jump,5,Ifeanyi Otvonye,Munro College,6.91mq
2011,Boys,Class 1,Long Jump,6,Teivaskie Lewin,Herbert Morrison,6.78mq
2011,Boys,Class 1,Long Jump,6,Jerome Wilson,Kingston College,6.78mq
2011,Boys,Class 1,Long Jump,8,Aubrey Allen,Bridgeport High,6.77mq
2011,Boys,Class 1,Long Jump,9,Damar Whyte,Rusea's High,6.76mq
2011,Boys,Class 1,Long Jump,10,Jauvoy Jones,Holmwood Technical High,6.75mq
2011,Boys,Class 1,Long Jump,11,Alex Levy,Camperdown High,6.71mq
2011,Boys,Class 1,Long Jump,11,Akiem Williams,Holmwood Technical High,6.71mq
2011,Boys,Class 1,Long Jump,13,Carlos Mingoes,Jamaica College,6.68mq
2011,Boys,Class 1,Long Jump,14,Jason Lewis,Wolmer's,6.60m
2011,Boys,Class 1,Long Jump,15,Orneldo Thomas,Old Harbour High,6.58m
2011,Boys,Class 1,Long Jump,16,Leerone Richards,St. Jago High,6.57m
2011,Boys,Class 1,Long Jump,17,Troy Reid,Manning's High,6.43m
2011,Boys,Class 1,Long Jump,18,James Passley,Happy Grove High,6.33m
2011,Boys,Class 1,Long Jump,19,Sedekie Edie,Calabar High School,6.27m
2011,Boys,Class 1,Long Jump,19,Miguel Graham,Clarendon College,6.27m
2011,Boys,Class 1,Long Jump,21,Ackeem Robertson,St. Mary High,6.23m
2011,Boys,Class 1,Long Jump,22,Denroc Dixon,Donald Quarrie High,6.17m
2011,Boys,Class 1,Long Jump,23,Charles Palmer,Excelsior High,6.15m
2011,Boys,Class 1,Long Jump,24,Derrol Gordon,Knox College,6.10m
2011,Boys,Class 1,Long Jump,25,Alton Palmer,Buff Bay High,6.09m
2011,Boys,Class 1,Long Jump,26,Sharaick Jarrett,Petersfield High,5.84m
2011,Boys,Class 1,Long Jump,27,Bertance Bailey,Tacius Golding High,5.82m
2011,Boys,Class 1,Long Jump,28,Teran Ramsay,Bog Walk High,5.77m
2011,Boys,Class 1,Long Jump,29,Davian Bennett,Manchester High,4.69m
2011,Boys,Class 1,Long Jump,--,Leevaughn O'Connor,St. Jago High,FOUL
2011,Boys,Class 1,Long Jump,--,Rushane Henry,St. Elizabeth Technical High,DNS
2011,Girls,Class 3,High Jump,1,Apryl Thompson,Manchester High,1.50mq
2011,Girls,Class 3,High Jump,1,Antonia Mason,St. Andrew High for Girls,1.50mq
2011,Girls,Class 3,High Jump,1,Tamara Moncrieffe,Holmwood Technical High,1.50mq
2011,Girls,Class 3,High Jump,1,Britny Kerr,Hydel Group of Schools,1.50mq
2011,Girls,Class 3,High Jump,1,Jehvannia Vidal-Whyte,Vere Technical High,1.50mq
2011,Girls,Class 3,High Jump,1,Jody-Kay Peterkin,Wolmer's,1.50mq
2011,Girls,Class 3,High Jump,1,Moseha Reid,St. Elizabeth Technical High,1.50mq
2011,Girls,Class 3,High Jump,1,Shadai Murray,Buff Bay High,1.50mq
2011,Girls,Class 3,High Jump,1,Danique Bryan,Edwin Allen High,1.50mq
2011,Girls,Class 3,High Jump,1,Sashaneir Bent,Alpha Academy,1.50mq
2011,Girls,Class 3,High Jump,11,Tanya Ricketts,St. Hugh's High,1.45m
2011,Girls,Class 3,High Jump,11,Raquida Grant,Hampton School,1.45m
2011,Girls,Class 3,High Jump,1,Afiya Dacres,St. Andrew High for Girls,1.50mq
2011,Girls,Class 3,High Jump,1,Rolaine Wright,Vere Technical High,1.50mq
2011,Girls,Class 3,High Jump,1,Rushaun Spencer,Wolmer's,1.50mq
2011,Girls,Class 3,High Jump,1,Dowieke Daniel,Campion College,1.50mq
2011,Girls,Class 3,High Jump,1,Latavia Coombs,Holmwood Technical High,1.50mq
