Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,Wind,OrigTeamName
15,,,3000 Meter Run,Event 1,11:14.01A,Women,None,2017-01-14,Jaaa Puma Development Meet,Kayan Green,1,Edwin Allen High,,,Edwin Allen
17,,,3000 Meter Run,Event 1,11:16.15A,Women,None,2017-01-14,Jaaa Puma Development Meet,Kara Grant,2,Edwin Allen High,,,Edwin Allen
16,,,3000 Meter Run,Event 1,11:25.29A,Women,None,2017-01-14,Jaaa Puma Development Meet,Jeima Davis,3,Edwin Allen High,,,Edwin Allen
28,,,3000 Meter Run,Event 1,11:27.52A,Women,None,2017-01-14,Jaaa Puma Development Meet,Tanice Barnett,4,Mavis Bank High,,,Mavis Bank TC
18,,,3000 Meter Run,Event 1,11:38.27A,Women,None,2017-01-14,Jaaa Puma Development Meet,Asshanni Robb,5,Edwin Allen High,,,Edwin Allen
15,,,3000 Meter Run,Event 1,11:46.89B,Women,None,2017-01-14,Jaaa Puma Development Meet,Anna-Lee Evans,6,Edwin Allen High,,,Edwin Allen
16,,,3000 Meter Run,Event 1,11:52.80B,Women,None,2017-01-14,Jaaa Puma Development Meet,Megan Thompson,7,Holmwood Technical High,,,Holmwood Tec
16,,,3000 Meter Run,Event 1,11:59.22B,Women,None,2017-01-14,Jaaa Puma Development Meet,Aneisha Ingram,8,Edwin Allen High,,,Edwin Allen
15,,,3000 Meter Run,Event 1,12:00.36,Women,None,2017-01-14,Jaaa Puma Development Meet,Shaneeka Reid,9,Holmwood Technical High,,,Holmwood Tec
18,,,3000 Meter Run,Event 1,12:05.24,Women,None,2017-01-14,Jaaa Puma Development Meet,Vonessa Mcgrowder,10,Edwin Allen High,,,Edwin Allen
14,,,3000 Meter Run,Event 1,12:18.49,Women,None,2017-01-14,Jaaa Puma Development Meet,Kimara Austin,11,Spaldings High,,,Spalding Hig
15,,,3000 Meter Run,Event 1,12:19.92,Women,None,2017-01-14,Jaaa Puma Development Meet,Zoey-Ann Wint,12,Manchester High,,,Manchester High
12,,,3000 Meter Run,Event 1,12:50.72,Women,None,2017-01-14,Jaaa Puma Development Meet,Chrisy Glanville,13,William Knibb Memorial High,,,William knibb
15,,,3000 Meter Run,Event 1,12:51.58,Women,None,2017-01-14,Jaaa Puma Development Meet,Jeniel Jones,14,Edwin Allen High,,,Edwin Allen
17,,,3000 Meter Run,Event 1,12:51.86,Women,None,2017-01-14,Jaaa Puma Development Meet,Yasheema Clarke,15,Rusea's High,,,Ruseas High
14,,,3000 Meter Run,Event 1,12:56.82,Women,None,2017-01-14,Jaaa Puma Development Meet,Tanya Rexted,16,Maggotty High School,,,Maggotty
,,,3000 Meter Run,Event 1,12:58.89,Women,None,2017-01-14,Jaaa Puma Development Meet,Vanessa Brown,17,St. Elizabeth Technical High,,,St. Elizabet
12,,,3000 Meter Run,Event 1,13:00.36,Women,None,2017-01-14,Jaaa Puma Development Meet,Niomi Simms,18,Thompson Town High,,,Thompson Town
14,,,3000 Meter Run,Event 1,13:18.11,Women,None,2017-01-14,Jaaa Puma Development Meet,Staceyann Campbell,19,Rusea's High,,,Ruseas High
15,,,3000 Meter Run,Event 1,13:19.49,Women,None,2017-01-14,Jaaa Puma Development Meet,Shantel Beckford,20,B. B. Coke High,,,B B Coke
14,,,3000 Meter Run,Event 1,13:34.92,Women,None,2017-01-14,Jaaa Puma Development Meet,Indiana Coke,21,Aberdeen High School,,,Aberdeen Hig
13,,,3000 Meter Run,Event 1,13:37.90,Women,None,2017-01-14,Jaaa Puma Development Meet,Ariel Robinson,22,Aberdeen High School,,,Aberdeen Hig
16,,,3000 Meter Run,Event 1,13:59.14,Women,None,2017-01-14,Jaaa Puma Development Meet,Olivene Beckford,23,Tacius Golding High,,,Tacius Golding
