Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,Wind,OrigTeamName
,Under 100,Open,4X800 Meter Relay,Event 1,8:57.50,Women,None,2017-01-21,Central Hurdles And Relays,,1,Holmwood Technical High,,,Holmwood Technical High
,Under 100,Open,4X800 Meter Relay,Event 1,9:00.57,Women,None,2017-01-21,Central Hurdles And Relays,,2,Edwin Allen High,,,Edwin Allen High
,Under 100,Open,4X800 Meter Relay,Event 2,7:48.66,Men,None,2017-01-21,Central Hurdles And Relays,,1,Jamaica College,,,Jamaica College
,Under 100,Open,4X800 Meter Relay,Event 2,7:58.42,Men,None,2017-01-21,Central Hurdles And Relays,,2,GC Foster College,,,G.C. Foster College
,Under 100,Open,4X800 Meter Relay,Event 2,8:06.16,Men,None,2017-01-21,Central Hurdles And Relays,,3,Holmwood Technical High,,,Holmwood Technical High
,Under 100,Open,4X800 Meter Relay,Event 2,8:15.04,Men,None,2017-01-21,Central Hurdles And Relays,,4,Edwin Allen High,,,Edwin Allen High
,Under 100,Open,4X800 Meter Relay,Event 2,8:20.85,Men,None,2017-01-21,Central Hurdles And Relays,,5,Excelsior High,,,Excelsior High School
,Under 100,Open,4X800 Meter Relay,Event 2,8:26.35,Men,None,2017-01-21,Central Hurdles And Relays,,6,Jamaica College,,,Jamaica College 
,19-99,,200 Meter Dash,Event 3,24.85,Women,None,2017-01-21,Central Hurdles And Relays,Shennae Steele,1,Utech,Clubs,0.3,Utech/Mvp
18,19-99,,200 Meter Dash,Event 3,24.98,Women,None,2017-01-21,Central Hurdles And Relays,Taqece Duggan,2,GC Foster College,Clubs,0.3,G.C. Foster College
20,19-99,,200 Meter Dash,Event 3,25.45,Women,None,2017-01-21,Central Hurdles And Relays,Shevonne Dixon,3,GC Foster College,Clubs,0.3,G.C. Foster College
,19-99,,200 Meter Dash,Event 3,25.57,Women,None,2017-01-21,Central Hurdles And Relays,Shana Wright,4,Utech,Clubs,0.3,Utech/Mvp
20,19-99,,200 Meter Dash,Event 3,27.25,Women,None,2017-01-21,Central Hurdles And Relays,Yensheka Olowu,5,GC Foster College,Clubs,0.3,G.C. Foster College
,19-99,,200 Meter Dash,Event 3,29.93,Women,None,2017-01-21,Central Hurdles And Relays,Brittany Becford,6,Utech,Clubs,0.3,Utech/Mvp
27,19-99,,200 Meter Dash,Event 4,21.93,Men,2,2017-01-21,Central Hurdles And Relays,Nasive Powell,1,GC Foster College,Clubs,-0.8,G.C. Foster College
,19-99,,200 Meter Dash,Event 4,21.99,Men,2,2017-01-21,Central Hurdles And Relays,Daniel Jarrett,2,Utech,Clubs,-0.8,Utech/Mvp
27,19-99,,200 Meter Dash,Event 4,22.13,Men,3,2017-01-21,Central Hurdles And Relays,Alvin Green,3,GC Foster College,Clubs,-1.5,G.C. Foster College
22,19-99,,200 Meter Dash,Event 4,22.35,Men,3,2017-01-21,Central Hurdles And Relays,Aubrery Allen,4,GC Foster College,Clubs,-1.5,G.C. Foster College
19,19-99,,200 Meter Dash,Event 4,22.58,Men,1,2017-01-21,Central Hurdles And Relays,Shown-D Thompson,5,GC Foster College,Clubs,0.1,G.C. Foster College
22,19-99,,200 Meter Dash,Event 4,22.60,Men,3,2017-01-21,Central Hurdles And Relays,Orane Armstrong,6,Elite Perfor,Clubs,-1.5,Elite Perfor
17,19-99,,200 Meter Dash,Event 4,22.61,Men,1,2017-01-21,Central Hurdles And Relays,Shamar Beckford,7,GC Foster College,Clubs,0.1,G.C. Foster College
,19-99,,200 Meter Dash,Event 4,22.71,Men,3,2017-01-21,Central Hurdles And Relays,Leonardo Stewart,8,Utech,Clubs,-1.5,Utech/Mvp
,19-99,,200 Meter Dash,Event 4,22.71,Men,1,2017-01-21,Central Hurdles And Relays,Leon Thomas,8,Utech,Clubs,0.1,Utech/Mvp
20,19-99,,200 Meter Dash,Event 4,22.85,Men,2,2017-01-21,Central Hurdles And Relays,Renardo Richards,10,Elite Perfor,Clubs,-0.8,Elite Perfor
,19-99,,200 Meter Dash,Event 4,22.91,Men,1,2017-01-21,Central Hurdles And Relays,Waquar Dacosta,11,Utech,Clubs,0.1,Utech/Mvp
,19-99,,200 Meter Dash,Event 4,22.98,Men,3,2017-01-21,Central Hurdles And Relays,Sanjai Brown,12,Utech,Clubs,-1.5,Utech/Mvp
16,19-99,,200 Meter Dash,Event 4,23.08,Men,1,2017-01-21,Central Hurdles And Relays,Xavyva Morgan,13,Rhodes Hall High,Clubs,0.1,Rhodes Hall High
,19-99,,200 Meter Dash,Event 4,23.13,Men,3,2017-01-21,Central Hurdles And Relays,Telphia Hines,14,Utech,Clubs,-1.5,Utech/Mvp
22,19-99,,200 Meter Dash,Event 4,23.18,Men,2,2017-01-21,Central Hurdles And Relays,Ricardo Davis,15,GC Foster College,Clubs,-0.8,G.C. Foster College
22,19-99,,200 Meter Dash,Event 4,23.23,Men,2,2017-01-21,Central Hurdles And Relays,Oraine Lindo,16,Caribbean Ma,Clubs,-0.8,Caribbean Ma
,19-99,,200 Meter Dash,Event 4,23.72,Men,2,2017-01-21,Central Hurdles And Relays,Jonoi Hussey,17,Utech,Clubs,-0.8,Utech/Mvp
21,19-99,,200 Meter Dash,Event 4,23.96,Men,3,2017-01-21,Central Hurdles And Relays,Orlan Reid,18,Caribbean Ma,Clubs,-1.5,Caribbean Ma
,19-99,,200 Meter Dash,Event 4,24.29,Men,3,2017-01-21,Central Hurdles And Relays,Lance Muir,19,Utech,Clubs,-1.5,Utech/Mvp
