Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,Wind,OrigTeamName
,13 & Under,,400 Meter Run,Event 1,52.90A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tajay Gardener,1,Munro College,,,Munro College
,13 & Under,,400 Meter Run,Event 1,53.24A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jovani Clarke,2,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,53.29A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tajay Roberts,3,Calabar High School,,,Calabar High
,13 & Under,,400 Meter Run,Event 1,53.31A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Scott Mcleod,4,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,53.31A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dante Jackson,4,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,53.35A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jaheim Jadoo,6,Greater Portmore,,,Greater Port
,13 & Under,,400 Meter Run,Event 1,53.55A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Bjorn Clarke,7,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,53.98A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Adrian Kerr,8,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,54.35A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Rayon Campbell,9,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,54.38A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jahiem Robinson,10,St. Jago High,,,St. Jago Hig
,13 & Under,,400 Meter Run,Event 1,54.42A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dontae Francis,11,Kingston High School,,,Kingston High
,13 & Under,,400 Meter Run,Event 1,54.43A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Corey Ottey,12,Calabar High School,,,Calabar High
,13 & Under,,400 Meter Run,Event 1,54.53A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Lavaughn Douglas,13,Calabar High School,,,Calabar High
,13 & Under,,400 Meter Run,Event 1,54.86A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Ellado Coltas,14,Calabar High School,,,Calabar High
,13 & Under,,400 Meter Run,Event 1,54.89A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Michael Hutchinson,15,St. Jago High,,,St. Jago Hig
,13 & Under,,400 Meter Run,Event 1,54.95A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kevaughn Goldson,16,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,55.11A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Cejay Marrison,17,Holmwood Technical High,,,Holmwood Tec
,13 & Under,,400 Meter Run,Event 1,55.15A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tariq Dacres,18,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,55.16A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kymani Sterling,19,Munro College,,,Munro College
,13 & Under,,400 Meter Run,Event 1,55.20A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Khalide Duncan,20,St. Mary High,,,St. Mary High
,13 & Under,,400 Meter Run,Event 1,55.33A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Javain Johnson,21,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,55.39A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Ricquan Graham,22,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,55.48A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Javel Fullerton,23,Calabar High School,,,Calabar High
,13 & Under,,400 Meter Run,Event 1,55.50A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Leshawn Miller,24,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,55.51A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jaquan Linton,25,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,55.70A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dante Fullwood,26,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,56.37A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tyrique Wheatley,27,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,56.83A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Omarion Davis,28,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,56.92A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Simon Roberts,29,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,57.19A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Deandre Mcintosh,30,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,57.22A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Loxley Reid,31,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,57.31B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Luis Watson,32,Kingston College,,,Kingston College
,13 & Under,,400 Meter Run,Event 1,57.42B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Daniel Hall,33,York Castle High,,,York Castle
,13 & Under,,400 Meter Run,Event 1,57.72B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Andre Henry,34,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,57.80B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dovante Graham,35,St. George's College,,,St. George college
,13 & Under,,400 Meter Run,Event 1,58.13B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Marcelle Morris,36,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,58.43B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tajhemar Service,37,Mona High,,,Mona High School
,13 & Under,,400 Meter Run,Event 1,58.72B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Christopher Malcolm,38,Donald Quarrie High,,,Donald Quarr
