Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,Wind,OrigTeamName
18,,Class 1,110 Meter Hurdles,Event 1,14.4h,Boys,None,2017-02-11,Milo Western Relays,Calvin Williams,1,Excelsior High,,-1.5,XLCR
16,,Class 1,110 Meter Hurdles,Event 1,14.7h,Boys,None,2017-02-11,Milo Western Relays,Brandon Bembridge,2,Excelsior High,,-1.5,XLCR
16,,Class 1,110 Meter Hurdles,Event 1,15.4h,Boys,None,2017-02-11,Milo Western Relays,Ricardo Smith,3,Rhodes Hall High,,-1.5,Rhodes Hall
17,,Class 1,110 Meter Hurdles,Event 1,18.1h,Boys,None,2017-02-11,Milo Western Relays,Ranaldo Smith,4,Rhodes Hall High,,-1.5,Rhodes Hall
16,,Class 1,110 Meter Hurdles,Event 1,NT,Boys,None,2017-02-11,Milo Western Relays,Akeim Malcolm,--,Green Island High,,-1.5,Green Island High
15,,Class 2,110 Meter Hurdles,Event 2,15.9h,Boys,None,2017-02-11,Milo Western Relays,Roan Hylton,1,Green Island High,,-0.5,Green Island High
,,Class 2,110 Meter Hurdles,Event 2,17.0h,Boys,None,2017-02-11,Milo Western Relays,Tarique Gooden,2,Cornwall College,,-0.5,Cornwall College
,,Class 2,110 Meter Hurdles,Event 2,17.9h,Boys,None,2017-02-11,Milo Western Relays,Kenroy Reid,3,Cornwall College,,-0.5,Cornwall College
15,,Class 2,110 Meter Hurdles,Event 2,19.1h,Boys,None,2017-02-11,Milo Western Relays,Mickoy Foster,4,B. B. Coke High,,-0.5,Bb. Coke
,,Class 2,110 Meter Hurdles,Event 2,19.4h,Boys,None,2017-02-11,Milo Western Relays,Tyree Fearon,5,Claude McKay High,,-0.5,Claude Makay
,,Class 2,110 Meter Hurdles,Event 2,19.7h,Boys,None,2017-02-11,Milo Western Relays,Eric Chambers,6,Claude McKay High,,-0.5,Claude Makay
12,,Class 3,100 Meter Hurdles,Event 3,16.7h,Boys,None,2017-02-11,Milo Western Relays,Fabian Barrett,1,B. B. Coke High,,-1.9,Bb. Coke
12,,Class 3,100 Meter Hurdles,Event 3,17.8h,Boys,None,2017-02-11,Milo Western Relays,Tariq Lewis,2,Rusea's High,,-1.9,Ruseas High
